Date,Platform,Area,Severity,Recurring,Summary,Original comment,Link
2026-08-12,Android,Performance/Crashes,High,Yes,App shows constant errors when attempting to place an order.,constant uh oh errors when ordering,https://play.google.com/store/apps/details?id=com.emn8.mobilem8.nativeapp.bk
2026-08-12,Android,Location/Store,Medium,Yes,Mobile ordering unavailable at a specific named store location.,I would love to know why I can't mobile order at 700 Jake Alexander Blvd salisbury NC!? The main people need to clean house at this terrible BK. I order too much food for my kids here for it to be so terrible,https://play.google.com/store/apps/details?id=com.emn8.mobilem8.nativeapp.bk
2026-08-12,Android,Payments & checkout,High,Yes,"So many times have not had the walmart plus discount apply properly on one page, but the final payment page it doesnt apply the discount. Also CONSTANTLY defaults to this one BK that I'm not even close to which is also getting annoying.",Walmart Plus discount does not apply on the final payment screen and app defaults to the wrong store.,https://play.google.com/store/apps/details?id=com.emn8.mobilem8.nativeapp.bk
2026-08-11,iOS,Payments & checkout,High,Yes,App keeps refunding and failing to submit orders.,"Very Buggy: App keeps refunding and not putting the order through, super buggy needs a fix asap",https://apps.apple.com/us/app/id638323895?see-all=reviews
2026-08-11,iOS,Location/Store,Medium,No,App repeatedly suggests a wrong 'closer' store with no way to dismiss the alert.,"Location services wrong: Every time I go to order I am being told there is a closer store, there is not, it is the exact same distance, and a worse location overall. And it happens EVERY TIME I open the app.",https://apps.apple.com/us/app/id638323895?see-all=reviews
2026-08-11,iOS,Rewards/Loyalty,High,Yes,Reward points are not being credited after completed purchases.,Missing points: I've made several purchases and none of the points have shown up in my rewards account,https://apps.apple.com/us/app/id638323895?see-all=reviews
2026-08-11,Android,Ordering flow,High,Yes,App crashes mid-checkout and loses the entire cart without confirmation.,Crash during checkout: I was halfway through entering my payment and the app crashed - lost everything I had in my cart,https://play.google.com/store/apps/details?id=com.emn8.mobilem8.nativeapp.bk
2026-08-12,iOS,Menu & offers,Medium,No,Promotional offers shown in the app are not accepted at the register.,Offers not valid at store: App shows me deals but when I get to the store they say it's not valid there,https://apps.apple.com/us/app/id638323895?see-all=reviews
2026-08-13,Android,Account/Login,High,Yes,User is repeatedly logged out and cannot stay signed in to the app.,"Keeps logging me out: Every time I open the app I have to log back in, even though I never logged out",https://play.google.com/store/apps/details?id=com.emn8.mobilem8.nativeapp.bk
2026-08-13,iOS,Customization,Medium,No,Burger customization options are missing for several menu items.,Can't customize my burger: Half the items don't give me the option to remove ingredients I'm allergic to,https://apps.apple.com/us/app/id638323895?see-all=reviews
2026-08-14,Android,Navigation/UI,Low,No,The app home screen is cluttered and hard to navigate to the order section.,"Confusing layout: I can never find where to actually place an order, the home screen is a mess",https://play.google.com/store/apps/details?id=com.emn8.mobilem8.nativeapp.bk
2026-08-14,iOS,Payments & checkout,High,Yes,Apple Pay fails at checkout and forces users to re-enter card details manually.,Apple Pay broken: I keep trying to use Apple Pay at checkout but it never goes through and I have to type in my card every time,https://apps.apple.com/us/app/id638323895?see-all=reviews
2026-08-15,Android,Rewards/Loyalty,Medium,Yes,Crown points balance displays incorrectly and does not update after redemption.,Points balance wrong: I redeemed a reward and my points balance shows the same as before - it's not updating,https://play.google.com/store/apps/details?id=com.emn8.mobilem8.nativeapp.bk
2026-08-15,iOS,Performance/Crashes,High,Yes,App freezes on the menu screen and requires a force close to recover.,"Freezes on menu: Every time I try to scroll through the menu the whole app just freezes up and I have to force close it, this has happened 5 times today",https://apps.apple.com/us/app/id638323895?see-all=reviews
2026-08-15,Android,Ordering flow,Medium,Yes,Order confirmation screen does not appear after payment is processed.,No confirmation after paying: I paid for my order but the app just went back to the home screen with no confirmation that my order went through,https://play.google.com/store/apps/details?id=com.emn8.mobilem8.nativeapp.bk
2026-08-16,iOS,Location/Store,High,Yes,App routes order to a different store than the one selected during checkout.,Wrong store selected: I specifically picked the BK on Main Street but my order went to the one across town,https://apps.apple.com/us/app/id638323895?see-all=reviews
2026-08-16,Android,Menu & offers,High,Yes,Menu items are showing as available but are sold out when user arrives at store.,Items show available but sold out: Ordered a specific sandwich through the app and when I got there they said it's been sold out all day - why is it showing as available?,https://play.google.com/store/apps/details?id=com.emn8.mobilem8.nativeapp.bk
2026-08-17,iOS,Rewards/Loyalty,High,Yes,Free item reward disappears from cart when user attempts to add it to an order.,Free item reward gone: I had a free Whopper reward in my account but when I tried to add it to my order it just disappeared,https://apps.apple.com/us/app/id638323895?see-all=reviews
2026-08-17,Android,Payments & checkout,High,Yes,Payment screen loops infinitely after order submission without confirming or rejecting.,"Stuck in payment loop: I hit submit order, the payment screen just spins forever and never tells me if the order went through or not",https://play.google.com/store/apps/details?id=com.emn8.mobilem8.nativeapp.bk
2026-08-18,iOS,Account/Login,Medium,Yes,Forgot password flow sends reset email but the link in the email does not work.,Password reset link broken: I got the reset email but when I click the link it just takes me to a blank page and I still can't get in,https://apps.apple.com/us/app/id638323895?see-all=reviews
2026-08-18,Android,Performance/Crashes,High,Yes,App crashes immediately on launch after latest update on Android devices.,Crashes on open: Since the last update the app crashes as soon as I open it and I can't even get to the menu,https://play.google.com/store/apps/details?id=com.emn8.mobilem8.nativeapp.bk
2026-08-19,iOS,Ordering flow,Medium,Yes,Scheduled pickup time cannot be changed once the order has been placed.,Can't change pickup time: I accidentally selected the wrong pickup time and there's no option to change it after I place the order,https://apps.apple.com/us/app/id638323895?see-all=reviews
2026-08-19,Android,Navigation/UI,Medium,No,Offer banners on the home screen overlap with the navigation menu and become untappable.,"Banners cover the menu: The ads at the top of the screen drop down and cover the bottom menu buttons, can't tap anything when that happens",https://play.google.com/store/apps/details?id=com.emn8.mobilem8.nativeapp.bk
2026-08-20,iOS,Customization,High,Yes,Ingredient removal selections reset to default when user navigates back to the menu.,Customizations keep resetting: I take out the pickles and onions but every time I go back to add something else my customizations are gone,https://apps.apple.com/us/app/id638323895?see-all=reviews
2026-08-20,Android,Rewards/Loyalty,High,Yes,Referral bonus is not applied to the account after the referred user completes a qualifying purchase.,Referral bonus missing: My friend signed up using my code and made a purchase but I never got the referral points they promised,https://play.google.com/store/apps/details?id=com.emn8.mobilem8.nativeapp.bk
2026-08-21,iOS,Payments & checkout,Medium,Yes,Saved credit card is not retained between sessions and must be re-entered each time.,Card not saved: Even though I save my card it's gone every time I open the app and I have to type it in again,https://apps.apple.com/us/app/id638323895?see-all=reviews
2026-08-21,Android,Ordering flow,High,Yes,Items added to the mobile order are not visible to restaurant staff upon arrival.,Staff can't see my order: I placed the order on the app and when I arrived they said they had nothing in the system,https://play.google.com/store/apps/details?id=com.emn8.mobilem8.nativeapp.bk
2026-08-22,iOS,Menu & offers,Medium,Yes,Nutritional information for several menu items is outdated or missing from the app.,Nutrition info wrong: The calories shown for the Whopper are way off from what's posted in the restaurant,https://apps.apple.com/us/app/id638323895?see-all=reviews
2026-08-22,Android,Account/Login,High,Yes,App requires re-authentication on every session even with 'remember me' enabled.,"Won't stay logged in: I check remember me every time but the next day I have to log in all over again, happens every single day",https://play.google.com/store/apps/details?id=com.emn8.mobilem8.nativeapp.bk
2026-08-23,iOS,Performance/Crashes,Medium,Yes,App takes over 30 seconds to load the menu on a standard Wi-Fi connection.,Menu takes forever to load: I'm on good Wi-Fi and the menu still takes like half a minute to load every time,https://apps.apple.com/us/app/id638323895?see-all=reviews
2026-08-23,Android,Location/Store,Medium,Yes,Store search returns no results when the user is within a mile of multiple BK locations.,Store search broken: I searched for BK locations and it says none found even though I can literally see one from where I'm standing,https://play.google.com/store/apps/details?id=com.emn8.mobilem8.nativeapp.bk
